state,date,persons
Alabama,2014-10-01,903079
Alabama,2014-11-01,902523
Alabama,2014-12-01,902267
Alabama,2015-01-01,894443
Alabama,2015-02-01,888274
Alabama,2015-03-01,885245
Alabama,2015-04-01,883325
Alabama,2015-05-01,881147
Alabama,2015-06-01,883164
Alabama,2015-07-01,883077
Alabama,2015-08-01,883258
Alabama,2015-09-01,882759
Alabama,2015-10-01,881402
Alabama,2015-11-01,879861
Alabama,2015-12-01,878375
Alabama,2016-01-01,869982
Alabama,2016-02-01,867600
Alabama,2016-03-01,864645
Alabama,2016-04-01,828894
Alabama,2016-05-01,825615
Alabama,2016-06-01,826733
Alabama,2016-07-01,825193
Alabama,2016-08-01,830607
Alabama,2016-09-01,830742
Alabama,2016-10-01,826790
Alabama,2016-11-01,825660
Alabama,2016-12-01,822878
Alabama,2017-01-01,815094
Alabama,2017-02-01,809763
Alabama,2017-03-01,803466
Alabama,2017-04-01,791488
Alabama,2017-05-01,790283
Alabama,2017-06-01,793260
Alabama,2017-07-01,789322
Alabama,2017-08-01,793146
Alabama,2017-09-01,790882
Alabama,2017-10-01,790245
Alabama,2017-11-01,788561
Alabama,2017-12-01,781426
Alabama,2018-01-01,771467
Alabama,2018-02-01,768516
Alabama,2018-03-01,764756
Alabama,2018-04-01,758064
Alabama,2018-05-01,756861
Alabama,2018-06-01,756716
Alabama,2018-07-01,755632
Alabama,2018-08-01,756688
Alabama,2018-09-01,751235
Alabama,2018-10-01,748755
Alabama,2018-11-01,743517
Alabama,2018-12-01,739258
Alabama,2019-01-01,734098
Alabama,2019-02-01,3926
Alabama,2019-03-01,723596
Alabama,2019-04-01,717163
Alabama,2019-05-01,716989
Alabama,2019-06-01,717564
Alabama,2019-07-01,718523
Alabama,2019-08-01,721299
Alabama,2019-09-01,719827
Alabama,2019-10-01,718792
Alabama,2019-11-01,716466
Alabama,2019-12-01,711384
Alabama,2020-01-01,705542
Alabama,2020-02-01,704788
Alabama,2020-03-01,706626
Alabama,2020-04-01,739950
Alabama,2020-05-01,755038
Alabama,2020-06-01,755694
Alabama,2020-07-01,746774
Alabama,2020-08-01,751129
Alabama,2020-09-01,756314
Alabama,2020-10-01,787978
Alabama,2020-11-01,793944
Alabama,2020-12-01,765476
Alabama,2021-01-01,780532
