event_time,coef,se,ci_lo,ci_hi
-12,-0.07932644855527246,0.04732686269397,-0.17208709943545364,0.013434202324908731
-11,-0.08070281152690707,0.046836071573836756,-0.1725015118116271,0.011095888757812963
-10,-0.08090509202452031,0.04669212752088381,-0.17242166196545258,0.010611477916411954
-9,-0.060881832917840786,0.05016044406713454,-0.15919630328942447,0.03743263745374291
-8,-0.07153174316728203,0.04668721394439866,-0.1630386824983034,0.019975196163739342
-7,-0.05317719415430102,0.03802909877953159,-0.12771422776218294,0.021359839453580894
-6,-0.039362278322788796,0.028818698608536742,-0.09584692759552081,0.01712237094994322
-5,-0.03119147727492526,0.019836625273741602,-0.0700712628114588,0.0076883082616082815
-4,-0.019997530495923583,0.0072310181079766655,-0.03417032598755785,-0.005824735004289318
-3,-0.003323318425031415,0.009394833944334964,-0.021737192955927943,0.015090556105865113
-2,0.018486738315241447,0.017908275422183005,-0.016613481512237245,0.05358695814272014
-1,0,0,0,0
0,-0.015342787518381407,0.011857478696117571,-0.03858344576277185,0.007897870726009032
1,-0.021861117561220708,0.019517305099914155,-0.06011503555705245,0.016392800434611034
2,-0.029479255589988762,0.024006823433725108,-0.07653262952008998,0.017574118340112452
3,-0.028004621946899354,0.02559368314526221,-0.07816824091161328,0.02215899701781458
4,-0.01497999784114875,0.029814346419642503,-0.07341611682364806,0.04345612114135056
5,-0.01795517948158755,0.026427289881756258,-0.06975266764982982,0.033842308686654714
